3.60;79.00
1.80;54.00
3.33;74.00
2.28;62.00
4.53;85.00
2.88;55.00
4.70;88.00
3.60;85.00
1.95;51.00
4.35;85.00
1.83;54.00
3.92;84.00
4.20;78.00
1.75;47.00
4.70;83.00
2.17;52.00
1.75;62.00
4.80;84.00
1.60;52.00
4.25;79.00
1.80;51.00
1.75;47.00
3.45;78.00
3.07;69.00
4.53;74.00
3.60;83.00
1.97;55.00
4.08;76.00
3.85;78.00
4.43;79.00
4.30;73.00
4.47;77.00
3.37;66.00
4.03;80.00
3.83;74.00
2.02;52.00
1.87;48.00
4.83;80.00
1.83;59.00
4.78;90.00
4.35;80.00
1.88;58.00
4.57;84.00
1.75;58.00
4.53;73.00
3.32;83.00
3.83;64.00
2.10;53.00
4.63;82.00
2.00;59.00
4.80;75.00
4.72;90.00
1.83;54.00
4.83;80.00
1.73;54.00
4.88;83.00
3.72;71.00
1.67;64.00
4.57;77.00
4.32;81.00
2.23;59.00
4.50;84.00
1.75;48.00
4.80;82.00
1.82;60.00
4.40;92.00
4.17;78.00
4.70;78.00
2.07;65.00
4.70;73.00
4.03;82.00
1.97;56.00
4.50;79.00
4.00;71.00
1.98;62.00
5.07;76.00
2.02;60.00
4.57;78.00
3.88;76.00
3.60;83.00
4.13;75.00
4.33;82.00
4.10;70.00
2.63;65.00
4.07;73.00
4.93;88.00
3.95;76.00
4.52;80.00
2.17;48.00
4.00;86.00
2.20;60.00
4.33;90.00
1.87;50.00
4.82;78.00
1.83;63.00
4.30;72.00
4.67;84.00
3.75;75.00
1.87;51.00
4.90;82.00
2.48;62.00
4.37;88.00
2.10;49.00
4.50;83.00
4.05;81.00
1.87;47.00
4.70;84.00
1.78;52.00
4.85;86.00
3.68;81.00
4.73;75.00
2.30;59.00
4.90;89.00
4.42;79.00
1.70;59.00
4.63;81.00
2.32;50.00
4.60;85.00
1.82;59.00
4.42;87.00
2.62;53.00
4.07;69.00
4.25;77.00
1.97;56.00
4.60;88.00
3.77;81.00
1.92;45.00
4.50;82.00
2.27;55.00
4.65;90.00
1.87;45.00
4.17;83.00
2.80;56.00
4.33;89.00
1.83;46.00
4.38;82.00
1.88;51.00
4.93;86.00
2.03;53.00
3.73;79.00
4.23;81.00
2.23;60.00
4.53;82.00
4.82;77.00
4.33;76.00
1.98;59.00
4.63;80.00
2.02;49.00
5.10;96.00
1.80;53.00
5.03;77.00
4.00;77.00
2.40;65.00
4.60;81.00
3.57;71.00
4.00;70.00
4.50;81.00
4.08;93.00
1.80;53.00
3.97;89.00
2.20;45.00
4.15;86.00
2.00;58.00
3.83;78.00
3.50;66.00
4.58;76.00
2.37;63.00
5.00;88.00
1.93;52.00
4.62;93.00
1.92;49.00
2.08;57.00
4.58;77.00
3.33;68.00
4.17;81.00
4.33;81.00
4.50;73.00
2.42;50.00
4.00;85.00
4.17;74.00
1.88;55.00
4.58;77.00
4.25;83.00
3.77;83.00
2.03;51.00
4.43;78.00
4.08;84.00
1.83;46.00
4.42;83.00
2.18;55.00
4.80;81.00
1.83;57.00
4.80;76.00
4.10;84.00
3.97;77.00
4.23;81.00
3.50;87.00
4.37;77.00
2.25;51.00
4.67;78.00
2.10;60.00
4.35;82.00
4.13;91.00
1.87;53.00
4.60;78.00
1.78;46.00
4.37;77.00
3.85;84.00
1.93;49.00
4.50;83.00
2.38;71.00
4.70;80.00
1.87;49.00
3.83;75.00
3.42;64.00
4.23;76.00
2.40;53.00
4.80;94.00
2.00;55.00
4.15;76.00
1.87;50.00
4.27;82.00
1.75;54.00
4.48;75.00
4.00;78.00
4.12;79.00
4.08;78.00
4.27;78.00
3.92;70.00
4.55;79.00
4.08;70.00
2.42;54.00
4.18;86.00
2.22;50.00
4.45;90.00
1.88;54.00
1.85;54.00
4.28;77.00
3.95;79.00
2.33;64.00
4.15;75.00
2.35;47.00
4.93;86.00
2.90;63.00
4.58;85.00
3.83;82.00
2.08;57.00
4.37;82.00
2.13;67.00
4.35;74.00
2.20;54.00
4.45;83.00
3.57;73.00
4.50;73.00
4.15;88.00
3.82;80.00
3.92;71.00
4.45;83.00
2.00;56.00
4.28;79.00
4.77;78.00
4.53;84.00
1.85;58.00
4.25;83.00
1.98;43.00
2.25;60.00
4.75;75.00
4.12;81.00
2.15;46.00
4.42;90.00
1.82;46.00
4.47;74.00
